Name,Score,Age,Ethinicity,Subject,Sex,ID
CLEMENTINO AVILA II,91,18,White American,Physics,M,82
CLYDE CHRISTOBAL,49,20,European American,Physics,M,83
COLLEEN RILEY,41,19,Hispanic,Physics,M,84
CRISTINA REYES,41,21,White American,Physics,F,85
CROCE CASCIATO,81,18,White American,Physics,M,86
CURTIS LUM,90,19,European American,Physics,M,87
DALE CARNES,81,21,European American,Physics,M,88
DAMON HART,41,18,White American,Physics,M,89
DANIEL ARMENTA,41,21,African American,Physics,F,90
DANIEL COX,,19,Hispanic,Physics,M,91
DANIEL CUNNINGHAM,84,19,White American,Physics,M,92
DANIEL DEDET,81,19,White American,Physics,M,93
DANIEL MAHONEY,87,18,White American,Physics,M,94
DANIEL MOLLOY,61,19,African American,Physics,F,95
DANIEL SCDORIS,71,18,White American,Physics,M,96
DANIEL YONTS,84,19,White American,Physics,M,97
DARCY KELLER,91,18,White American,Physics,M,98
DARREN CHOY,61,21,European American,Physics,M,99
DARRYL HUNTER,61,19,Hispanic,Physics,F,100
DAVID BRIGGS,41,18,Hispanic,Physics,M,101
DAVID FRANKLIN,49,20,African American,Physics,M,102
DAVID HAWKINS,91,18,European American,Physics,M,103
DAVID KUSHNER,62,21,White American,Physics,M,104
DAVID LAZAR,78,18,European American,Physics,F,105
DAVID OWEN,61,19,White American,Physics,M,106
DAVID PFEIFER,,21,European American,Physics,M,107
DAVID SHINN,81,21,European American,Physics,M,108
DAVID SULLIVAN,,19,White American,Physics,M,109
DAVID THOMPSON,81,21,White American,Physics,F,110
DAVID ZWYER,61,21,European American,Physics,M,111
DEBBIE TAM,81,18,White American,Physics,M,112
DEBORAH BORNE,84,19,Hispanic,Physics,M,113
DEBORAH JETER,41,19,White American,Physics,M,114
DEBORAH LOGAN,91,20,European American,Physics,F,115
DEBRA JOHNSON,84,21,White American,Physics,M,116
DENIS JOYCE,71,18,European American,Physics,M,117
DENIS OLEARY,49,20,White American,Physics,M,118
DENISE BAILEY,78,20,European American,Physics,M,119
DENISE NEWMAN,81,21,White American,Physics,F,120
DENISE SCHMITT,87,18,European American,Physics,M,121
DENNIS HERRERA,,18,White American,Physics,M,122
DENNIS MARTINEZ,81,21,White American,Physics,M,123
DENNIS O'NEILL,41,19,European American,Physics,M,124
DENNIS SUTTER,49,18,European American,Physics,F,125
DEREK WING,91,20,White American,Physics,M,126
DERIO DITO,41,21,White American,Physics,M,127
DIANA GUEVARA,71,20,European American,Physics,M,128
DOMINIC CELAYA,62,21,White American,Physics,M,129
DONALD BRYANT,71,18,European American,Physics,F,130
DONALD FIELDS,62,18,Hispanic,Physics,M,131
DONALD MARGOLIS,71,20,Hispanic,Physics,M,132
DONALDSON SHUMPERT,49,18,European American,Physics,M,133
DONNA LEE,81,18,White American,Physics,M,134
DONNA MEIXNER,81,18,Hispanic,Physics,F,135
DONNIE HORNBUCKLE,61,21,European American,Physics,M,136
DOUGLAS MCEACHERN,61,21,Hispanic,Physics,M,137
DOUGLAS RIBA,87,20,White American,Physics,M,138
DUSTIN NOVO,81,21,European American,Physics,M,139
DWAYNE CURRY,88,21,White American,Physics,F,140
EDGAR CALLEJAS,78,18,White American,Physics,M,141
EDGAR GONZALEZ,91,20,Hispanic,Physics,M,142
EDMUND DEA,81,18,Hispanic,Physics,M,143
EDMUND VAIL,62,18,White American,Physics,M,144
EDUARDO GONZALEZ,84,21,White American,Physics,F,145
EDWARD CAMPBELL,78,20,Hispanic,Physics,M,146
EDWARD CHEUNG,49,18,European American,Physics,M,147
EDWARD CHU,84,19,Hispanic,Physics,M,148
EDWARD DELCARLO,41,18,White American,Physics,M,149
EDWARD DENNIS,61,21,White American,Physics,F,150
EDWARD HARRINGTON,91,18,European American,Physics,M,151
EDWARD REISKIN,27,18,White American,Physics,M,152
EDWARD ROLAND,62,18,European American,Physics,M,153
EDWIN LEE,41,19,White American,Physics,M,154
EHRHARDT GROOTHOFF,49,18,White American,Physics,F,155
ELAINE COLEMAN,41,19,White American,Physics,M,156
ELISA RAMIREZ,49,18,European American,Physics,M,157
ELIZABETH JOHNSON,87,18,European American,Physics,M,158
ELLEN APOLINARIO,81,19,European American,Physics,M,159
ELLEN LEVIN,49,18,European American,Physics,F,160
ELLEN MOFFATT,84,18,White American,Physics,M,161
ERIBERTO ISON,81,18,White American,Physics,M,162
ERIC CRANSTON,78,18,Hispanic,Physics,M,163
ERIKA HOO,81,19,White American,Physics,M,164
ERNEST JOHNSON,41,18,European American,Physics,F,165
EUGENE GALEANO,78,20,Hispanic,Physics,M,166
EVETTE GEER-STEVENS,87,18,European American,Physics,M,167
FE HORTINELA,61,19,White American,Physics,M,168
FERDINAND CADELINA,61,19,White American,Physics,M,169
FERDINAND MENESES,71,18,Hispanic,Physics,F,170
FERNANDO DEALBA,84,18,European American,Physics,M,171
FLAVIA BAYATI,61,18,White American,Physics,M,172
FLOYD ROLLINS,49,20,White American,Physics,M,173
FRANK CARDINALE,84,19,White American,Physics,M,174
FRANK HSIEH,41,19,Hispanic,Physics,F,175
FRANK KOSTA,91,18,White American,Physics,M,176
FREDERICK BINKLEY,71,18,African American,Physics,M,177
FUAD SWEISS,49,20,Hispanic,Physics,M,178
GARRET TOM,49,18,Hispanic,Physics,M,179
GARY AMELIO,91,18,European American,Physics,F,180
GARY CONSTANTINE,91,20,White American,Physics,M,181
GARY JIMENEZ,81,19,White American,Physics,M,182
GAVIN ESTUPINIAN,84,19,African American,Physics,M,183
GEORGE FOURAS,84,19,Hispanic,Physics,M,184
GEORGE GARCIA,91,20,White American,Physics,F,185
GEORGE GASCON,71,20,European American,Physics,M,186
GEORGE LYSENKO,71,20,Hispanic,Physics,M,187
GERALD DARCY,91,20,European American,Physics,M,188
GERALD MANSUR JR,87,20,European American,Physics,M,189
GERARDO PINTO,78,18,White American,Physics,F,190
GHODSI DAVARY,81,19,White American,Physics,M,191
GLEN KOJIMOTO,87,18,African American,Physics,M,192
GLENN KIRCHER,81,19,European American,Physics,M,193
GLENN MAR,81,21,Hispanic,Physics,M,194
GLENN ORTIZ-SCHULDT,87,20,African American,Physics,F,195
GLORIA GARCIA ORME,87,18,European American,Physics,M,196
GRAD GREEN,81,21,White American,Physics,M,197
GREGORY CACHARELIS,91,20,White American,Physics,M,198
GREGORY CORRALES,84,21,European American,Physics,M,199
GREGORY MAR,49,18,White American,Physics,F,200
GREGORY MCFARLAND,62,18,Hispanic,Physics,M,201
GREGORY STANGLAND,87,20,White American,Physics,M,202
GREGORY SUHR,41,19,White American,Physics,M,203
GUY GOODWIN,81,19,Hispanic,Physics,M,204
HAGOP HAJIAN,78,18,European American,Physics,F,205
HANS VIGIL,62,19,Hispanic,Physics,M,206
HARLAN KELLY-JR,71,20,European American,Physics,M,207
HAROLD BYRD,71,18,White American,Physics,M,208
HARRY PINKARD,91,18,White American,Physics,M,209
HARVEY ELWIN,62,19,White American,Physics,F,210
HENRY LARKIN,62,21,African American,Physics,M,211
HERALIO SERRANO,84,19,White American,Physics,M,212
HERBERT CARNEY,84,19,Hispanic,Physics,M,213
HERBERT HENLEY,71,18,White American,Physics,M,214
IRENE SUNG,62,19,White American,Physics,F,215
IVAR SATERO,69,19,European American,Physics,M,216
JACK CHOW,78,20,Hispanic,Physics,M,217
JACKSON WONG,78,18,White American,Physics,M,218
JALAL AINEB,41,19,White American,Physics,M,219
JAMES BLAKE,91,18,White American,Physics,F,220
JAMES BOSCH,62,19,Hispanic,Physics,M,221
JAMES CALONICO,81,21,European American,Physics,M,222
JAMES DEIGNAN,78,18,White American,Physics,M,223
JAMES DUDLEY,87,18,European American,Physics,M,224
JAMES EMERY,81,21,Hispanic,Physics,F,225
JAMES FAZACKERLEY,91,20,White American,Physics,M,226
JAMES FLORES,49,20,Hispanic,Physics,M,227
JAMES HARRIGAN,87,20,European American,Physics,M,228
JAMES MILLER,41,19,White American,Physics,M,229
JAMES SPILLANE,61,18,European American,Physics,F,230
JAMES VANNUCCHI,71,20,White American,Physics,M,231
JANET HINES,87,18,White American,Physics,M,232
JASON PAW,49,20,European American,Physics,M,233
JAY HUISH,49,18,Hispanic,Physics,M,234
JAY KLOO,49,18,White American,Physics,F,235
JEFF COLUMBINI,91,18,Hispanic,Physics,M,236
JEFF IWASAKI,71,20,White American,Physics,M,237
JEFFREY ADACHI,91,20,Hispanic,Physics,M,238
JEFFREY BARDEN,78,18,White American,Physics,M,239
JEFFREY MYERS,49,18,White American,Physics,F,240
JENNIFER DEBERRY,91,18,European American,Physics,M,241
JENNIFER MATZ,71,20,European American,Physics,M,242
JERRY COLEMAN,62,18,Hispanic,Physics,M,243
JESSE SMITH,87,20,White American,Physics,M,244
JESUS PENA,87,20,European American,Physics,F,245
JILL LECOUNT,81,18,Hispanic,Physics,M,246
JIM GIANG,71,20,African American,Physics,M,247
JIM HALL III,62,18,White American,Physics,M,248
JIMMIE LEW,71,20,White American,Physics,M,249
JOANNE HAYES-WHITE,84,19,European American,Physics,F,250
JOANNE HOEPER,84,18,African American,Physics,M,251
JOHN BARKER,78,20,European American,Physics,M,252
JOHN BRAGAGNOLO,61,18,European American,Physics,M,253
JOHN BROWN,41,19,African American,Physics,M,254
JOHN BUCHANAN JR,81,18,European American,Physics,F,255
JOHN CAVANAUGH,61,19,White American,Physics,M,256
JOHN CREMEN,71,20,White American,Physics,M,257
JOHN EHRLICH,71,18,European American,Physics,M,258
JOHN FEENEY,49,20,White American,Physics,M,259
JOHN FLORES,41,18,White American,Physics,F,260
JOHN GARRITY,87,18,White American,Physics,M,261
JOHN GOLDBERG,91,18,White American,Physics,M,262
JOHN HALEY JR,91,18,Hispanic,Physics,M,263
JOHN HANLEY,78,20,White American,Physics,M,264
JOHN HART,49,18,White American,Physics,F,265
JOHN HICKEY,62,21,European American,Physics,M,266
JOHN KOSTA,41,19,White American,Physics,M,267
JOHN LOFTUS,78,20,White American,Physics,M,268
JOHN MARTIN,61,19,European American,Physics,M,269
JOHN MURPHY,61,19,Hispanic,Physics,F,270
JOHN MURPHY,84,21,Hispanic,Physics,M,271
JOHN NESTOR,78,20,White American,Physics,M,272
JOHN RAHAIM,91,18,Hispanic,Physics,M,273
JOHN ROCCO,49,20,White American,Physics,M,274
JOHN SANFORD JR,87,18,White American,Physics,F,275
JOHN STANFIELD,61,19,White American,Physics,M,276
JOHN TURSI,61,19,African American,Physics,M,277
JOHN VAN KOLL,87,18,White American,Physics,M,278
JOHNSON YOU,62,18,White American,Physics,M,279
JON WALTON,61,19,European American,Physics,F,280
JONATHAN BAXTER,41,19,European American,Physics,M,281
JONES WONG,87,20,White American,Physics,M,282
JOSE CASTILLO,41,21,White American,Physics,M,283
JOSE VELO,49,20,Hispanic,Physics,M,284
JOSEPH CUFF,71,18,Hispanic,Physics,F,285
JOSEPH DRISCOLL,49,18,White American,Physics,M,286
JOSEPH FISCHER-III,91,18,White American,Physics,M,287
JOSEPH FONG,91,18,White American,Physics,M,288
JOSEPH MAYERS,81,19,European American,Physics,M,289
JOSEPH WOODS,87,20,White American,Physics,F,290
JOSEPHINE RAPADAS,62,19,European American,Physics,M,291
JOSHUA BAMBERGER,91,20,European American,Physics,M,292
JOSHUA KUMLI,84,19,European American,Physics,M,293
JUDY MELINEK,81,19,White American,Physics,M,294
JULIA M C FRIEDLANDER,62,18,European American,Physics,F,295
JULIE LABONTE,91,20,European American,Physics,M,296
JULIE VAN NOSTERN,87,18,African American,Physics,M,297
JULIET ELLIS,91,20,European American,Physics,M,298
JULIO ESCOBAR,81,18,White American,Physics,M,299
JUNE CRAVET,87,18,Hispanic,Physics,F,300
KANDACE BENDER,60,19,White American,Physics,M,301
KAREN ROYE,49,18,White American,Physics,M,302
KARL JURGENSON,81,19,European American,Physics,M,303
KATE HERRMAN STACY,62,21,Hispanic,Physics,M,304
KATHLEEN MAXWELL,49,20,African American,Physics,F,305
KATHRYN BALLOU,78,20,Hispanic,Physics,M,306
KATHRYN FOWLER,71,18,European American,Physics,M,307
KATHRYN HOW,71,18,White American,Physics,M,308
KEITH SANFORD,60,19,European American,Physics,M,309
KEN YEE,84,19,European American,Physics,F,310
KENNETH CORDERO,87,20,Hispanic,Physics,M,311
KENNETH SMITH,71,18,White American,Physics,M,312
KEVIN BARRY,62,21,European American,Physics,M,313
KEVIN BURKE,78,18,White American,Physics,M,314
KEVIN CASHMAN,41,21,Hispanic,Physics,F,315
KEVIN JONES,62,19,Hispanic,Physics,M,316
KEVIN KUHN,62,19,Hispanic,Physics,M,317
KEVIN LABANOWSKI,87,20,White American,Physics,M,318
KEVIN SMITH,62,19,White American,Physics,M,319
KEVIN TAYLOR,71,18,White American,Physics,F,320
KHAIRUL ALI,87,20,White American,Physics,M,321
KHOA TRINH,41,18,Hispanic,Physics,M,322
KIMIKO BURTON,71,18,White American,Physics,M,323
KIRK RICHARDSON,71,20,European American,Physics,M,324
KIRSTEN BARASH,61,21,European American,Physics,F,325
L MILITELLO,62,19,White American,Physics,M,326
LAN LEE,81,19,White American,Physics,M,327
LARRY MITCHELL,61,21,White American,Physics,M,328
LAUIFI SEUMAALA,91,20,White American,Physics,M,329
LAURENCE RAMLAN,91,18,European American,Physics,F,330
LAWRENCE FREED,91,18,Hispanic,Physics,M,331
LAWRENCE LEE,49,20,White American,Physics,M,332
LAWRENCE NICHOLLS,62,19,Hispanic,Physics,M,333
LENETTE THOMPSON,62,18,Hispanic,Physics,M,334
LENORA JACOBS,49,20,European American,Physics,F,335
LEON KUO,91,20,Hispanic,Physics,M,336
LEON WHITE,87,20,White American,Physics,M,337
LEONARD BROBERG,61,19,Hispanic,Physics,M,338
LEONARDO FERMIN,84,18,White American,Physics,M,339
LESLIE DUBBIN,84,21,White American,Physics,F,340
LINDA ROSS,61,19,European American,Physics,M,341
LISA GOLDEN,62,19,African American,Physics,M,342
LISA HOFFMANN,62,21,White American,Physics,M,343
LISETTE ADAMS,41,18,White American,Physics,M,344
LORI BORGHI,84,21,European American,Physics,F,345
LORRIE KALOS,91,20,White American,Physics,M,346
LOUIS CASSANEGO,62,19,European American,Physics,M,347
LUIS HERRERA,87,18,Hispanic,Physics,M,348
LUIS IBARRA-RIVERA,81,19,White American,Physics,M,349
LYN TOMIOKA,61,19,White American,Physics,F,350
MADONNA VALENCIA,71,18,White American,Physics,M,351
MAGALY SAADE,27,18,European American,Physics,M,352
MAMI SUZUKI-VIDALON,61,18,White American,Physics,M,353
MANUEL PEGUEROS,91,18,Hispanic,Physics,M,354
MARGARET CALLAHAN,78,20,White American,Physics,F,355
MARGARET HANNAFORD,78,18,White American,Physics,M,356
MARGARET RYKOWSKI,61,18,Hispanic,Physics,M,357
MARIA BEE,84,21,White American,Physics,M,358
MARISA MORET,71,18,White American,Physics,M,359
MARK CASTAGNOLA,41,21,White American,Physics,F,360
MARK GAMBLE,41,18,Hispanic,Physics,M,361
MARK GONZALES,71,20,African American,Physics,M,362
MARK HERNANDEZ,84,19,European American,Physics,M,363
MARK JOHNSON,81,19,White American,Physics,M,364
MARK KEARNEY,62,19,White American,Physics,F,365
MARK SENORES,62,18,European American,Physics,M,366
MARK SMITH,71,20,Hispanic,Physics,M,367
MARK SOLOMON,71,20,European American,Physics,M,368
MARTIEN VERHAEG,41,19,European American,Physics,M,369
MARTIN BELTRAN,87,20,White American,Physics,F,370
MARTIN GRAN,87,18,European American,Physics,M,371
MARTIN HALLORAN,78,18,Hispanic,Physics,M,372
MARTIN LALOR JR,71,20,White American,Physics,M,373
MARTY ROSS,87,20,Hispanic,Physics,M,374
MARY TSE,84,19,European American,Physics,F,375
MASAE KAWAMURA,84,21,White American,Physics,M,376
MATTHEW CANNON,62,19,White American,Physics,M,377
MATTHEW MCNAUGHTON,91,18,White American,Physics,M,378
MATTHEW ROTHSCHILD,41,18,White American,Physics,M,379
MELANY BRANDON,49,20,White American,Physics,F,380
MELISSA LERMA,87,20,European American,Physics,M,381
MERCEDES GERMAN,71,18,European American,Physics,M,382
MICHAEL AHERN,62,21,Hispanic,Physics,M,383
MICHAEL BELLO,62,19,White American,Physics,M,384
MICHAEL BIEL,87,20,White American,Physics,F,385
MICHAEL BROWNE,81,18,White American,Physics,M,386
MICHAEL BRYANT,78,20,European American,Physics,M,387
MICHAEL CARLIN,62,19,White American,Physics,M,388
MICHAEL CASTAGNOLA,71,18,White American,Physics,M,389
MICHAEL COLEMAN,87,18,European American,Physics,F,390
MICHAEL CONNOLLY,41,19,White American,Physics,M,391
MICHAEL DALY,78,20,White American,Physics,M,392
MICHAEL DELANE,87,20,White American,Physics,M,393
MICHAEL DRENNAN,71,18,White American,Physics,M,394
MICHAEL DUDOROFF,78,20,European American,Physics,F,395
MICHAEL ELLIS,91,20,European American,Physics,M,396
MICHAEL GONZALES,84,19,White American,Physics,M,397
MICHAEL HENNESSEY,61,19,White American,Physics,M,398
MICHAEL KEARNEY,81,21,Hispanic,Physics,M,399
MICHAEL MORRIS,87,18,White American,Physics,F,400
MICHAEL MOYNIHAN,87,20,Hispanic,Physics,M,401
MICHAEL PHILPOTT,49,20,Hispanic,Physics,M,402
MICHAEL QUAN,91,20,White American,Physics,M,403
MICHAEL ROLOVICH,91,18,African American,Physics,M,404
MICHAEL SIMMONS,49,18,Hispanic,Physics,F,405
MICHAEL SMITH,41,19,White American,Physics,M,406
MICHAEL THOMPSON,71,18,White American,Physics,M,407
MICHAEL THOMPSON,61,18,White American,Physics,M,408
MICHAEL WALSH,41,19,European American,Physics,M,409
MICHAEL WHOOLEY,78,18,European American,Physics,F,410
MIKAIL ALI,78,18,Hispanic,Physics,M,411
MIKE BREILING,62,19,European American,Physics,M,412
MILTON ESTES,61,21,White American,Physics,M,413
MIRIAM DAMON,62,19,White American,Physics,M,414
MITCHELL LEE,91,18,White American,Physics,F,415
MIVIC HIROSE,41,21,White American,Physics,M,416
MOHAMMED NURU,61,19,European American,Physics,M,417
MONICA FIELDS,57,19,European American,Physics,M,418
MONIQUE MOYER,61,19,Hispanic,Physics,M,419
MONIQUE ZMUDA,81,18,White American,Physics,F,420
MORGAN PETITI,71,18,Hispanic,Physics,M,421
MYO CHANG,78,20,African American,Physics,M,422
NANCY LEW,78,20,White American,Physics,M,423
NANCY PARKER,62,21,White American,Physics,M,424
NATHAN HARDY,81,19,European American,Physics,F,425
NATHANIEL FORD,71,18,White American,Physics,M,426
NEIL SWENDSEN,87,20,White American,Physics,M,427
NELA PONFERRADA,61,19,Hispanic,Physics,M,428
NELSON ACETO,78,20,White American,Physics,M,429
NEREE DASTOUS,41,18,European American,Physics,F,430
NICHOLAS COLANGELO,91,20,European American,Physics,M,431
NICOL JURATOVAC,84,18,White American,Physics,M,432
NICOLETTE DIVECCHIO,49,18,White American,Physics,M,433
NIKOLAS LEMOS,78,18,White American,Physics,M,434
NOEL MORONEY,62,19,White American,Physics,F,435
NOREEN AMBROSE,87,20,White American,Physics,M,436
OLLIE BANKS,41,18,White American,Physics,M,437
OSCAR CABRERA,49,18,European American,Physics,M,438
OWEN CLEMENTS,81,19,White American,Physics,M,439
PABLO SIGUENZA,87,18,White American,Physics,F,440
PATRIC STEELE,49,18,European American,Physics,M,441
PATRICIA CARR,84,19,Hispanic,Physics,M,442
PATRICIA JACKSON,81,18,European American,Physics,M,443
PATRICIA O'CONNER,41,19,Hispanic,Physics,M,444
PATRICK GARDNER,49,18,White American,Physics,F,445
PATRICK MULLANEY,71,20,Hispanic,Physics,M,446
PAUL CHIGNELL,81,19,African American,Physics,M,447
PAUL HENDERSON,62,19,White American,Physics,M,448
PAUL LEE,78,20,White American,Physics,M,449
PAUL URQUIAGA,81,19,Hispanic,Physics,F,450
PAULINE MARX,78,20,White American,Physics,M,451
PERRY LEONG,78,18,European American,Physics,M,452
PETE FAY JR,91,18,Hispanic,Physics,M,453
PETER THOSHINSKY,81,19,Hispanic,Physics,M,454
PHILIP GINSBURG,71,20,White American,Physics,F,455
PHILIP PERA,87,20,Hispanic,Physics,M,456
PHILIP STEVENS,91,18,White American,Physics,M,457
PIERRE FRANCOIS,91,20,European American,Physics,M,458
PIERRE MARTINEZ,49,18,European American,Physics,M,459
RAEMONA WILLIAMS,81,18,African American,Physics,F,460
RAJIV BHATIA,91,20,White American,Physics,M,461
RANDY LY,61,19,European American,Physics,M,462
RANDY MANNING,87,20,White American,Physics,M,463
RASMI CHAN,71,20,Hispanic,Physics,M,464
RAUL FRANCISCO,45,21,White American,Physics,F,465
RAY CRAWFORD,49,20,Hispanic,Physics,M,466
RAYMOND CHAVEZ,84,21,European American,Physics,M,467
RAYMOND GUZMAN,62,18,White American,Physics,M,468
RAYMOND KOENIG,49,18,Hispanic,Physics,M,469
REGINA GOMEZ,78,18,White American,Physics,F,470
RENEE MARQUARDT,78,18,White American,Physics,M,471
REX HALE,49,20,Hispanic,Physics,M,472
RICHARD BUSALACCHI,81,21,African American,Physics,M,473
RICHARD CORRIEA,41,21,Hispanic,Physics,M,474
RICHARD CURRIE,87,20,White American,Physics,F,475
RICHARD ELLIOTT,78,20,White American,Physics,M,476
RICHARD PARRY,41,19,White American,Physics,M,477
RICHARD UNTALAN,71,18,White American,Physics,M,478
RICHARD VAN KOLL,91,18,White American,Physics,M,479
RICHARD ZERCHER,84,21,White American,Physics,F,480
RICKY HUI,84,19,White American,Physics,M,481
ROBERT BONNET,81,18,Hispanic,Physics,M,482
ROBERT BRYAN,78,20,European American,Physics,M,483
ROBERT CHIN,62,19,White American,Physics,M,484
ROBERT COLEMAN,84,18,Hispanic,Physics,F,485
ROBERT GALLOT,87,20,White American,Physics,M,486
ROBERT GUILLERMO,91,20,White American,Physics,M,487
ROBERT KAPROSCH,71,18,White American,Physics,M,488
ROBERT LOPEZ,71,18,Hispanic,Physics,M,489
ROBERT MAERZ,49,20,European American,Physics,F,490
ROBERT MUHAMMAD,84,18,European American,Physics,M,491
ROBERT POSTEL,78,20,European American,Physics,M,492
ROBERT SERRANO,84,19,White American,Physics,M,493
ROBERT SHAW,87,20,White American,Physics,M,494
ROBERT STYLES,71,18,European American,Physics,F,495
ROBERT TAI,71,18,European American,Physics,M,496
ROBERT VELARDE,87,18,Hispanic,Physics,M,497
ROBERT WINSLOW,81,19,White American,Physics,M,498
ROLAND PICKENS,84,18,European American,Physics,M,499
RONALD PRUYN,49,18,White American,Physics,F,500
ROSE QUINONES,49,20,White American,Physics,M,501
ROSELYN JEQUINTO,61,18,European American,Physics,M,502
ROSEMARY LEE,87,18,European American,Physics,M,503
ROWENA PATEL,87,18,Hispanic,Physics,M,504
RUBY MARTIN,41,19,Hispanic,Physics,F,505
RUDOLPH ERLER,62,21,European American,Physics,M,506
RUDY CASTELLANOS,62,21,White American,Physics,M,507
RYAN CREAN,49,18,White American,Physics,M,508
RYAN KENNEDY,61,19,White American,Physics,M,509
SAHIR PUTRUS,49,18,White American,Physics,F,510
SAM YUEN,87,18,White American,Physics,M,511
SAMSON LAI,78,20,European American,Physics,M,512
SAMUEL NIETO,41,19,White American,Physics,M,513
SAMUEL ROMERO,61,19,White American,Physics,M,514
SANDRA HUANG,61,18,White American,Physics,F,515
SANDRA TONG,49,18,European American,Physics,M,516
SARAH CARY,78,18,White American,Physics,M,517
SCOTT SCHOLZEN,84,19,African American,Physics,M,518
SEAN BONETTI,91,20,White American,Physics,M,519
SEBASTIAN WONG,60,19,Hispanic,Physics,F,520
SHANNON SAKOWSKI,78,20,European American,Physics,M,521
