Name,Score,Age,Ethinicity,Subject,Sex,ID
GERALD MANSUR JR,91,20,European American,Maths,M,189
GERARDO PINTO,82,18,White American,Maths,F,190
GHODSI DAVARY,85,19,White American,Maths,M,191
GLEN KOJIMOTO,91,18,African American,Maths,M,192
GLENN KIRCHER,85,19,European American,Maths,M,193
GLENN MAR,85,21,Hispanic,Maths,M,194
GLENN ORTIZ-SCHULDT,91,20,African American,Maths,F,195
GLORIA GARCIA ORME,91,18,European American,Maths,M,196
GRAD GREEN,85,21,White American,Maths,M,197
GREGORY CACHARELIS,95,20,White American,Maths,M,198
GREGORY CORRALES,88,21,European American,Maths,M,199
GREGORY MAR,53,18,White American,Maths,F,200
GREGORY MCFARLAND,66,18,Hispanic,Maths,M,201
GREGORY STANGLAND,91,20,White American,Maths,M,202
GREGORY SUHR,45,19,White American,Maths,M,203
GUY GOODWIN,85,19,Hispanic,Maths,M,204
HAGOP HAJIAN,82,18,European American,Maths,F,205
HANS VIGIL,66,19,Hispanic,Maths,M,206
HARLAN KELLY-JR,75,20,European American,Maths,M,207
HAROLD BYRD,75,18,White American,Maths,M,208
HARRY PINKARD,95,18,White American,Maths,M,209
HARVEY ELWIN,66,19,White American,Maths,F,210
HENRY LARKIN,66,21,African American,Maths,M,211
HERALIO SERRANO,88,19,White American,Maths,M,212
HERBERT CARNEY,88,19,Hispanic,Maths,M,213
HERBERT HENLEY,75,18,White American,Maths,M,214
IRENE SUNG,66,19,White American,Maths,F,215
IVAR SATERO,88,19,European American,Maths,M,216
JACK CHOW,82,20,Hispanic,Maths,M,217
JACKSON WONG,82,18,White American,Maths,M,218
JALAL AINEB,45,19,White American,Maths,M,219
JAMES BLAKE,95,18,White American,Maths,F,220
JAMES BOSCH,66,19,Hispanic,Maths,M,221
JAMES CALONICO,85,21,European American,Maths,M,222
JAMES DEIGNAN,82,18,White American,Maths,M,223
JAMES DUDLEY,91,18,European American,Maths,M,224
JAMES EMERY,85,21,Hispanic,Maths,F,225
JAMES FAZACKERLEY,95,20,White American,Maths,M,226
JAMES FLORES,53,20,Hispanic,Maths,M,227
JAMES HARRIGAN,91,20,European American,Maths,M,228
JAMES MILLER,45,19,White American,Maths,M,229
JAMES SPILLANE,65,18,European American,Maths,F,230
JAMES VANNUCCHI,75,20,White American,Maths,M,231
JANET HINES,91,18,White American,Maths,M,232
JASON PAW,53,20,European American,Maths,M,233
JAY HUISH,53,18,Hispanic,Maths,M,234
JAY KLOO,53,18,White American,Maths,F,235
JEFF COLUMBINI,95,18,Hispanic,Maths,M,236
JEFF IWASAKI,75,20,White American,Maths,M,237
JEFFREY ADACHI,95,20,Hispanic,Maths,M,238
JEFFREY BARDEN,82,18,White American,Maths,M,239
JEFFREY MYERS,53,18,White American,Maths,F,240
JENNIFER DEBERRY,95,18,European American,Maths,M,241
JENNIFER MATZ,75,20,European American,Maths,M,242
JERRY COLEMAN,66,18,Hispanic,Maths,M,243
JESSE SMITH,91,20,White American,Maths,M,244
JESUS PENA,91,20,European American,Maths,F,245
JILL LECOUNT,85,18,Hispanic,Maths,M,246
JIM GIANG,75,20,African American,Maths,M,247
JIM HALL III,66,18,White American,Maths,M,248
JIMMIE LEW,75,20,White American,Maths,M,249
JOANNE HAYES-WHITE,88,19,European American,Maths,F,250
JOANNE HOEPER,88,18,African American,Maths,M,251
JOHN BARKER,82,20,European American,Maths,M,252
JOHN BRAGAGNOLO,65,18,European American,Maths,M,253
JOHN BROWN,45,19,African American,Maths,M,254
JOHN BUCHANAN JR,85,18,European American,Maths,F,255
JOHN CAVANAUGH,65,19,White American,Maths,M,256
JOHN CREMEN,75,20,White American,Maths,M,257
JOHN EHRLICH,75,18,European American,Maths,M,258
JOHN FEENEY,53,20,White American,Maths,M,259
JOHN FLORES,45,18,White American,Maths,F,260
JOHN GARRITY,91,18,White American,Maths,M,261
JOHN GOLDBERG,95,18,White American,Maths,M,262
JOHN HALEY JR,95,18,Hispanic,Maths,M,263
JOHN HANLEY,82,20,White American,Maths,M,264
JOHN HART,53,18,White American,Maths,F,265
JOHN HICKEY,66,21,European American,Maths,M,266
JOHN KOSTA,45,19,White American,Maths,M,267
JOHN LOFTUS,82,20,White American,Maths,M,268
JOHN MARTIN,65,19,European American,Maths,M,269
JOHN MURPHY,65,19,Hispanic,Maths,F,270
JOHN MURPHY,88,21,Hispanic,Maths,M,271
JOHN NESTOR,82,20,White American,Maths,M,272
JOHN RAHAIM,95,18,Hispanic,Maths,M,273
JOHN ROCCO,53,20,White American,Maths,M,274
JOHN SANFORD JR,91,18,White American,Maths,F,275
JOHN STANFIELD,65,19,White American,Maths,M,276
JOHN TURSI,65,19,African American,Maths,M,277
JOHN VAN KOLL,91,18,White American,Maths,M,278
JOHNSON YOU,66,18,White American,Maths,M,279
JON WALTON,65,19,European American,Maths,F,280
JONATHAN BAXTER,45,19,European American,Maths,M,281
JONES WONG,91,20,White American,Maths,M,282
JOSE CASTILLO,45,21,White American,Maths,M,283
JOSE VELO,53,20,Hispanic,Maths,M,284
JOSEPH CUFF,75,18,Hispanic,Maths,F,285
JOSEPH DRISCOLL,53,18,White American,Maths,M,286
JOSEPH FISCHER-III,95,18,White American,Maths,M,287
JOSEPH FONG,95,18,White American,Maths,M,288
JOSEPH MAYERS,85,19,European American,Maths,M,289
JOSEPH WOODS,91,20,White American,Maths,F,290
JOSEPHINE RAPADAS,66,19,European American,Maths,M,291
JOSHUA BAMBERGER,95,20,European American,Maths,M,292
JOSHUA KUMLI,88,19,European American,Maths,M,293
JUDY MELINEK,85,19,White American,Maths,M,294
JULIA M C FRIEDLANDER,66,18,European American,Maths,F,295
JULIE LABONTE,95,20,European American,Maths,M,296
JULIE VAN NOSTERN,91,18,African American,Maths,M,297
JULIET ELLIS,95,20,European American,Maths,M,298
JULIO ESCOBAR,85,18,White American,Maths,M,299
JUNE CRAVET,91,18,Hispanic,Maths,F,300
KANDACE BENDER,64,19,White American,Maths,M,301
KAREN ROYE,53,18,White American,Maths,M,302
KARL JURGENSON,85,19,European American,Maths,M,303
KATE HERRMAN STACY,66,21,Hispanic,Maths,M,304
KATHLEEN MAXWELL,53,20,African American,Maths,F,305
KATHRYN BALLOU,82,20,Hispanic,Maths,M,306
KATHRYN FOWLER,75,18,European American,Maths,M,307
KATHRYN HOW,75,18,White American,Maths,M,308
KEITH SANFORD,64,19,European American,Maths,M,309
KEN YEE,88,19,European American,Maths,F,310
KENNETH CORDERO,91,20,Hispanic,Maths,M,311
KENNETH SMITH,75,18,White American,Maths,M,312
KEVIN BARRY,66,21,European American,Maths,M,313
KEVIN BURKE,82,18,White American,Maths,M,314
KEVIN CASHMAN,45,21,Hispanic,Maths,F,315
KEVIN JONES,66,19,Hispanic,Maths,M,316
KEVIN KUHN,66,19,Hispanic,Maths,M,317
KEVIN LABANOWSKI,91,20,White American,Maths,M,318
KEVIN SMITH,66,19,White American,Maths,M,319
KEVIN TAYLOR,75,18,White American,Maths,F,320
KHAIRUL ALI,91,20,White American,Maths,M,321
KHOA TRINH,45,18,Hispanic,Maths,M,322
KIMIKO BURTON,75,18,White American,Maths,M,323
KIRK RICHARDSON,75,20,European American,Maths,M,324
KIRSTEN BARASH,65,21,European American,Maths,F,325
L MILITELLO,66,19,White American,Maths,M,326
LAN LEE,85,19,White American,Maths,M,327
LARRY MITCHELL,65,21,White American,Maths,M,328
LAUIFI SEUMAALA,95,20,White American,Maths,M,329
LAURENCE RAMLAN,95,18,European American,Maths,F,330
LAWRENCE FREED,95,18,Hispanic,Maths,M,331
LAWRENCE LEE,53,20,White American,Maths,M,332
LAWRENCE NICHOLLS,66,19,Hispanic,Maths,M,333
LENETTE THOMPSON,66,18,Hispanic,Maths,M,334
LENORA JACOBS,53,20,European American,Maths,F,335
LEON KUO,95,20,Hispanic,Maths,M,336
LEON WHITE,91,20,White American,Maths,M,337
LEONARD BROBERG,65,19,Hispanic,Maths,M,338
LEONARDO FERMIN,88,18,White American,Maths,M,339
LESLIE DUBBIN,88,21,White American,Maths,F,340
LINDA ROSS,65,19,European American,Maths,M,341
LISA GOLDEN,66,19,African American,Maths,M,342
LISA HOFFMANN,66,21,White American,Maths,M,343
LISETTE ADAMS,45,18,White American,Maths,M,344
LORI BORGHI,88,21,European American,Maths,F,345
LORRIE KALOS,95,20,White American,Maths,M,346
LOUIS CASSANEGO,66,19,European American,Maths,M,347
LUIS HERRERA,91,18,Hispanic,Maths,M,348
LUIS IBARRA-RIVERA,85,19,White American,Maths,M,349
LYN TOMIOKA,65,19,White American,Maths,F,350
MADONNA VALENCIA,75,18,White American,Maths,M,351
MAGALY SAADE,31,18,European American,Maths,M,352
MAMI SUZUKI-VIDALON,65,18,White American,Maths,M,353
MANUEL PEGUEROS,95,18,Hispanic,Maths,M,354
MARGARET CALLAHAN,82,20,White American,Maths,F,355
MARGARET HANNAFORD,82,18,White American,Maths,M,356
MARGARET RYKOWSKI,65,18,Hispanic,Maths,M,357
MARIA BEE,88,21,White American,Maths,M,358
MARISA MORET,75,18,White American,Maths,M,359
MARK CASTAGNOLA,45,21,White American,Maths,F,360
MARK GAMBLE,45,18,Hispanic,Maths,M,361
MARK GONZALES,75,20,African American,Maths,M,362
MARK HERNANDEZ,88,19,European American,Maths,M,363
MARK JOHNSON,85,19,White American,Maths,M,364
MARK KEARNEY,66,19,White American,Maths,F,365
MARK SENORES,66,18,European American,Maths,M,366
MARK SMITH,75,20,Hispanic,Maths,M,367
MARK SOLOMON,75,20,European American,Maths,M,368
MARTIEN VERHAEG,45,19,European American,Maths,M,369
MARTIN BELTRAN,91,20,White American,Maths,F,370
MARTIN GRAN,91,18,European American,Maths,M,371
MARTIN HALLORAN,82,18,Hispanic,Maths,M,372
MARTIN LALOR JR,75,20,White American,Maths,M,373
MARTY ROSS,91,20,Hispanic,Maths,M,374
MARY TSE,88,19,European American,Maths,F,375
MASAE KAWAMURA,88,21,White American,Maths,M,376
MATTHEW CANNON,66,19,White American,Maths,M,377
MATTHEW MCNAUGHTON,95,18,White American,Maths,M,378
MATTHEW ROTHSCHILD,45,18,White American,Maths,M,379
MELANY BRANDON,53,20,White American,Maths,F,380
MELISSA LERMA,91,20,European American,Maths,M,381
MERCEDES GERMAN,75,18,European American,Maths,M,382
MICHAEL AHERN,66,21,Hispanic,Maths,M,383
MICHAEL BELLO,66,19,White American,Maths,M,384
MICHAEL BIEL,91,20,White American,Maths,F,385
MICHAEL BROWNE,85,18,White American,Maths,M,386
MICHAEL BRYANT,82,20,European American,Maths,M,387
MICHAEL CARLIN,66,19,White American,Maths,M,388
MICHAEL CASTAGNOLA,75,18,White American,Maths,M,389
MICHAEL COLEMAN,91,18,European American,Maths,F,390
MICHAEL CONNOLLY,45,19,White American,Maths,M,391
MICHAEL DALY,,20,White American,Maths,M,392
MICHAEL DELANE,91,20,White American,Maths,M,393
MICHAEL DRENNAN,75,18,White American,Maths,M,394
MICHAEL DUDOROFF,82,20,European American,Maths,F,395
MICHAEL ELLIS,95,20,European American,Maths,M,396
MICHAEL GONZALES,88,19,White American,Maths,M,397
MICHAEL HENNESSEY,65,19,White American,Maths,M,398
MICHAEL KEARNEY,85,21,Hispanic,Maths,M,399
MICHAEL MORRIS,91,18,White American,Maths,F,400
MICHAEL MOYNIHAN,91,20,Hispanic,Maths,M,401
MICHAEL PHILPOTT,53,20,Hispanic,Maths,M,402
MICHAEL QUAN,95,20,White American,Maths,M,403
MICHAEL ROLOVICH,95,18,African American,Maths,M,404
MICHAEL SIMMONS,53,18,Hispanic,Maths,F,405
MICHAEL SMITH,45,19,White American,Maths,M,406
MICHAEL THOMPSON,75,18,White American,Maths,M,407
MICHAEL THOMPSON,65,18,White American,Maths,M,408
MICHAEL WALSH,45,19,European American,Maths,M,409
MICHAEL WHOOLEY,82,18,European American,Maths,F,410
MIKAIL ALI,82,18,Hispanic,Maths,M,411
MIKE BREILING,66,19,European American,Maths,M,412
MILTON ESTES,65,21,White American,Maths,M,413
MIRIAM DAMON,66,19,White American,Maths,M,414
MITCHELL LEE,95,18,White American,Maths,F,415
MIVIC HIROSE,45,21,White American,Maths,M,416
MOHAMMED NURU,65,19,European American,Maths,M,417
MONICA FIELDS,88,19,European American,Maths,M,418
MONIQUE MOYER,65,19,Hispanic,Maths,M,419
MONIQUE ZMUDA,85,18,White American,Maths,F,420
MORGAN PETITI,75,18,Hispanic,Maths,M,421
MYO CHANG,82,20,African American,Maths,M,422
NANCY LEW,82,20,White American,Maths,M,423
NANCY PARKER,66,21,White American,Maths,M,424
NATHAN HARDY,85,19,European American,Maths,F,425
NATHANIEL FORD,75,18,White American,Maths,M,426
NEIL SWENDSEN,91,20,White American,Maths,M,427
NELA PONFERRADA,65,19,Hispanic,Maths,M,428
NELSON ACETO,82,20,White American,Maths,M,429
NEREE DASTOUS,45,18,European American,Maths,F,430
NICHOLAS COLANGELO,95,20,European American,Maths,M,431
NICOL JURATOVAC,88,18,White American,Maths,M,432
NICOLETTE DIVECCHIO,53,18,White American,Maths,M,433
NIKOLAS LEMOS,82,18,White American,Maths,M,434
NOEL MORONEY,66,19,White American,Maths,F,435
NOREEN AMBROSE,91,20,White American,Maths,M,436
OLLIE BANKS,45,18,White American,Maths,M,437
OSCAR CABRERA,53,18,European American,Maths,M,438
OWEN CLEMENTS,85,19,White American,Maths,M,439
PABLO SIGUENZA,91,18,White American,Maths,F,440
PATRIC STEELE,53,18,European American,Maths,M,441
PATRICIA CARR,88,19,Hispanic,Maths,M,442
PATRICIA JACKSON,85,18,European American,Maths,M,443
PATRICIA O'CONNER,45,19,Hispanic,Maths,M,444
PATRICK GARDNER,53,18,White American,Maths,F,445
PATRICK MULLANEY,75,20,Hispanic,Maths,M,446
PAUL CHIGNELL,85,19,African American,Maths,M,447
PAUL HENDERSON,66,19,White American,Maths,M,448
PAUL LEE,82,20,White American,Maths,M,449
PAUL URQUIAGA,85,19,Hispanic,Maths,F,450
PAULINE MARX,82,20,White American,Maths,M,451
PERRY LEONG,82,18,European American,Maths,M,452
PETE FAY JR,95,18,Hispanic,Maths,M,453
PETER THOSHINSKY,85,19,Hispanic,Maths,M,454
PHILIP GINSBURG,75,20,White American,Maths,F,455
PHILIP PERA,91,20,Hispanic,Maths,M,456
PHILIP STEVENS,95,18,White American,Maths,M,457
PIERRE FRANCOIS,95,20,European American,Maths,M,458
PIERRE MARTINEZ,53,18,European American,Maths,M,459
RAEMONA WILLIAMS,85,18,African American,Maths,F,460
RAJIV BHATIA,95,20,White American,Maths,M,461
RANDY LY,65,19,European American,Maths,M,462
RANDY MANNING,91,20,White American,Maths,M,463
RASMI CHAN,75,20,Hispanic,Maths,M,464
RAUL FRANCISCO,45,21,White American,Maths,F,465
RAY CRAWFORD,53,20,Hispanic,Maths,M,466
RAYMOND CHAVEZ,88,21,European American,Maths,M,467
RAYMOND GUZMAN,66,18,White American,Maths,M,468
RAYMOND KOENIG,53,18,Hispanic,Maths,M,469
REGINA GOMEZ,82,18,White American,Maths,F,470
RENEE MARQUARDT,82,18,White American,Maths,M,471
REX HALE,53,20,Hispanic,Maths,M,472
RICHARD BUSALACCHI,85,21,African American,Maths,M,473
RICHARD CORRIEA,45,21,Hispanic,Maths,M,474
RICHARD CURRIE,91,20,White American,Maths,F,475
RICHARD ELLIOTT,82,20,White American,Maths,M,476
RICHARD PARRY,45,19,White American,Maths,M,477
RICHARD UNTALAN,75,18,White American,Maths,M,478
RICHARD VAN KOLL,95,18,White American,Maths,M,479
RICHARD ZERCHER,88,21,White American,Maths,F,480
RICKY HUI,88,19,White American,Maths,M,481
ROBERT BONNET,85,18,Hispanic,Maths,M,482
ROBERT BRYAN,82,20,European American,Maths,M,483
ROBERT CHIN,66,19,White American,Maths,M,484
ROBERT COLEMAN,88,18,Hispanic,Maths,F,485
ROBERT GALLOT,91,20,White American,Maths,M,486
ROBERT GUILLERMO,95,20,White American,Maths,M,487
ROBERT KAPROSCH,75,18,White American,Maths,M,488
ROBERT LOPEZ,75,18,Hispanic,Maths,M,489
ROBERT MAERZ,53,20,European American,Maths,F,490
ROBERT MUHAMMAD,88,18,European American,Maths,M,491
ROBERT POSTEL,82,20,European American,Maths,M,492
ROBERT SERRANO,88,19,White American,Maths,M,493
ROBERT SHAW,91,20,White American,Maths,M,494
ROBERT STYLES,75,18,European American,Maths,F,495
ROBERT TAI,75,18,European American,Maths,M,496
ROBERT VELARDE,91,18,Hispanic,Maths,M,497
ROBERT WINSLOW,85,19,White American,Maths,M,498
ROLAND PICKENS,88,18,European American,Maths,M,499
RONALD PRUYN,53,18,White American,Maths,F,500
ROSE QUINONES,53,20,White American,Maths,M,501
ROSELYN JEQUINTO,65,18,European American,Maths,M,502
ROSEMARY LEE,91,18,European American,Maths,M,503
ROWENA PATEL,91,18,Hispanic,Maths,M,504
RUBY MARTIN,45,19,Hispanic,Maths,F,505
RUDOLPH ERLER,66,21,European American,Maths,M,506
RUDY CASTELLANOS,66,21,White American,Maths,M,507
RYAN CREAN,53,18,White American,Maths,M,508
RYAN KENNEDY,65,19,White American,Maths,M,509
SAHIR PUTRUS,53,18,White American,Maths,F,510
SAM YUEN,91,18,White American,Maths,M,511
SAMSON LAI,82,20,European American,Maths,M,512
SAMUEL NIETO,45,19,White American,Maths,M,513
SAMUEL ROMERO,65,19,White American,Maths,M,514
SANDRA HUANG,65,18,White American,Maths,F,515
SANDRA TONG,53,18,European American,Maths,M,516
SARAH CARY,82,18,White American,Maths,M,517
SCOTT SCHOLZEN,88,19,African American,Maths,M,518
SEAN BONETTI,95,20,White American,Maths,M,519
SEBASTIAN WONG,64,19,Hispanic,Maths,F,520
SHANNON SAKOWSKI,82,20,European American,Maths,M,521
